row_index,paper_id,raw_value,raw_unit,parsed_kind,disposition,target_cap_F_g
118,10.1002/slct.202200690,164.6,F/g,exact,kept:exact,164.6
119,10.1002/slct.202200690,,,missing,dropped:no_value_reported,
120,10.1002/slct.202200690,200.4,F/g,exact,kept:exact,200.4
121,10.1002/slct.202200690,,,missing,dropped:no_value_reported,
122,10.1002/slct.202200690,211.7,F/g,exact,kept:exact,211.7
123,10.1002/slct.202200690,,,missing,dropped:no_value_reported,
124,10.1002/slct.202200690,270.5,F/g,exact,kept:exact,270.5
125,10.1002/slct.202200690,,,missing,dropped:no_value_reported,
126,10.1002/smll.202202203,376,F g−1,exact,kept:exact,376.0
127,10.1021/acsnano.2c03351,287.9,F g−1,exact,kept:exact,287.9
128,10.3390/molecules30020241,289,F g−1,exact,kept:exact,289.0
129,10.3390/molecules30020241,,,missing,dropped:no_value_reported,
130,10.3390/molecules30020241,,,missing,dropped:no_value_reported,
131,10.3390/molecules30020241,658,F g−1,exact,kept:exact,658.0
132,10.1038/nature13970,245,F g−1,exact,kept:exact,245.0
133,10.1038/nature13970,182,F g−1,exact,kept:exact,182.0
134,10.1038/nature13970,161,F g−1,exact,kept:exact,161.0
135,10.1038/nenergy.2017.105,450,F g−1,exact,kept:exact,450.0
136,10.1038/nenergy.2017.105,380,F g−1,exact,kept:exact,380.0
137,10.1038/nenergy.2017.105,370,F g−1,exact,kept:exact,370.0
138,10.1038/nenergy.2017.105,354,F g−1,exact,kept:exact,354.0
139,10.1038/nenergy.2017.105,310,F g−1,exact,kept:exact,310.0
140,10.1038/nenergy.2017.105,280,F g−1,exact,kept:exact,280.0
141,10.1038/nenergy.2017.105,125,F g−1,exact,kept:exact,125.0
142,10.1038/nenergy.2017.105,,,missing,dropped:no_value_reported,
143,10.1021/acsnano.3c11551,252.5,F g−1,exact,kept:exact,252.5
144,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
145,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
146,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
147,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
148,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
149,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
150,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
151,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
152,10.1021/acsnano.9b07325,,,missing,dropped:no_value_reported,
153,10.1002/adfm.202102874,31,F g-1,exact,kept:exact,31.0
154,10.1002/adfm.202102874,,,missing,dropped:no_value_reported,
155,10.1002/adfm.202102874,295,F g-1,exact,kept:exact,295.0
156,10.1002/adfm.202102874,197,F g-1,exact,kept:exact,197.0
157,10.1002/adfm.202102874,206,F g-1,exact,kept:exact,206.0
158,10.1007/s40820-024-01567-2,,,missing,dropped:no_value_reported,
159,10.1007/s40820-024-01567-2,,,missing,dropped:no_value_reported,
160,10.1038/s41586-018-0109-z,265,F g−1,exact,kept:exact,265.0
161,10.1038/s41586-018-0109-z,236,F g−1,exact,kept:exact,236.0
162,10.1038/s41586-018-0109-z,over 200,F g−1,inequality,dropped:inequality,
163,10.1038/s41586-018-0109-z,over 200,F g−1,inequality,dropped:inequality,
164,10.1038/s41586-018-0109-z,over 200,F g−1,inequality,dropped:inequality,
165,10.1038/s41586-018-0109-z,256,F g−1,exact,kept:exact,256.0
166,10.1038/s41586-018-0109-z,268,F g−1,exact,kept:exact,268.0
167,10.1038/s41586-018-0109-z,,,missing,dropped:no_value_reported,
168,10.1002/smtd.202500499,,,missing,dropped:no_value_reported,
169,10.1002/smtd.202500499,,,missing,dropped:no_value_reported,
170,10.1002/smsc.202500367,exceeding 100,F g-1,inequality,dropped:inequality,
171,10.1002/smll.202205947,258,F g−1,exact,kept:exact,258.0
172,10.1002/smll.202205947,198,F g−1,exact,kept:exact,198.0
173,10.1002/smll.202205947,223,F g−1,exact,kept:exact,223.0
174,10.1002/smll.201802225,,,missing,dropped:no_value_reported,
175,10.1002/smll.201802225,,,missing,dropped:no_value_reported,
176,10.1002/smll.201802225,532,F g−1,exact,kept:exact,532.0
177,10.1002/smll.201804732,,,missing,dropped:no_value_reported,
178,10.1002/smll.201804732,,,missing,dropped:no_value_reported,
179,10.1002/smll.201804732,,,missing,dropped:no_value_reported,
180,10.1002/smll.201804732,258.2,F g-1,exact,kept:exact,258.2
181,ssrn-5211970.pdf,281,F g-1,exact,kept:exact,281.0
182,ssrn-5211970.pdf,298,F g-1,exact,kept:exact,298.0
183,ssrn-5211970.pdf,401,F g-1,exact,kept:exact,401.0
184,10.1002/sus2.61,213.8,F/g,exact,kept:exact,213.8
185,10.25259/ajc_264_2024,315.5,F g-1,exact,kept:exact,315.5
186,10.25259/ajc_264_2024,436,F g-1,exact,kept:exact,436.0
187,10.1002/adfm.201705506,,,missing,dropped:no_value_reported,
188,10.1002/adfm.201705506,,,missing,dropped:no_value_reported,
189,10.1002/adfm.201705506,,,missing,dropped:no_value_reported,
190,10.1002/adfm.201705506,,,missing,dropped:no_value_reported,
191,10.1002/adfm.201705506,,,missing,dropped:no_value_reported,
