fold,k,ratio,gen_seed,n_train,bayesian_network,n_valid_returned,n_valid_requested
2,2,5.25,1,37,"[[""interlayer_A"", [""scan_rate_mV_s""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s""]], [""target_cap_F_g"", [""interlayer_A"", ""scan_rate_mV_s""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",194,194
2,2,5.25,2,37,"[[""interlayer_A"", [""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A"", ""h2so4_M""]], [""target_cap_F_g"", [""scan_rate_mV_s"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",194,194
2,3,1.0,0,37,"[[""interlayer_A"", [""layer_class""]], [""h2so4_M"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""interlayer_A"", ""h2so4_M"", ""layer_class""]], [""target_cap_F_g"", [""h2so4_M"", ""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g"", ""interlayer_A""]]]",37,37
2,3,3.0,0,37,"[[""interlayer_A"", [""layer_class""]], [""h2so4_M"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""interlayer_A"", ""h2so4_M"", ""layer_class""]], [""target_cap_F_g"", [""h2so4_M"", ""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g"", ""interlayer_A""]]]",111,111
2,3,5.25,0,37,"[[""interlayer_A"", [""layer_class""]], [""h2so4_M"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""interlayer_A"", ""h2so4_M"", ""layer_class""]], [""target_cap_F_g"", [""h2so4_M"", ""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g"", ""interlayer_A""]]]",194,194
3,1,1.0,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",38,38
3,1,3.0,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",114,114
3,1,5.25,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",200,200
3,2,1.0,0,38,"[[""interlayer_A"", [""h2so4_M""]], [""target_cap_F_g"", [""interlayer_A"", ""h2so4_M""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",38,38
3,2,1.0,1,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""target_cap_F_g""]]]",38,38
3,2,1.0,2,38,"[[""target_cap_F_g"", [""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",38,38
3,2,3.0,0,38,"[[""interlayer_A"", [""h2so4_M""]], [""target_cap_F_g"", [""interlayer_A"", ""h2so4_M""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",114,114
3,2,3.0,1,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""target_cap_F_g""]]]",114,114
3,2,3.0,2,38,"[[""target_cap_F_g"", [""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",114,114
3,2,5.25,0,38,"[[""interlayer_A"", [""h2so4_M""]], [""target_cap_F_g"", [""interlayer_A"", ""h2so4_M""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",200,200
3,2,5.25,1,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""target_cap_F_g""]]]",200,200
3,2,5.25,2,38,"[[""target_cap_F_g"", [""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",200,200
3,3,1.0,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""scan_rate_mV_s"", ""h2so4_M"", ""interlayer_A""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",38,38
3,3,3.0,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""scan_rate_mV_s"", ""h2so4_M"", ""interlayer_A""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",114,114
3,3,5.25,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""scan_rate_mV_s"", ""h2so4_M"", ""interlayer_A""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",200,200
4,1,1.0,0,38,"[[""interlayer_A"", [""h2so4_M""]], [""target_cap_F_g"", [""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",38,38
4,1,3.0,0,38,"[[""interlayer_A"", [""h2so4_M""]], [""target_cap_F_g"", [""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",114,114
4,1,5.25,0,38,"[[""interlayer_A"", [""h2so4_M""]], [""target_cap_F_g"", [""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",200,200
4,2,1.0,0,38,"[[""h2so4_M"", [""interlayer_A""]], [""target_cap_F_g"", [""h2so4_M"", ""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]]]",38,38
4,2,1.0,1,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""h2so4_M"", [""interlayer_A"", ""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""target_cap_F_g""]]]",38,38
4,2,1.0,2,38,"[[""interlayer_A"", [""layer_class""]], [""h2so4_M"", [""interlayer_A"", ""layer_class""]], [""target_cap_F_g"", [""h2so4_M"", ""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",38,38
4,2,3.0,0,38,"[[""h2so4_M"", [""interlayer_A""]], [""target_cap_F_g"", [""h2so4_M"", ""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]]]",114,114
4,2,3.0,1,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""h2so4_M"", [""interlayer_A"", ""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""target_cap_F_g""]]]",114,114
4,2,3.0,2,38,"[[""interlayer_A"", [""layer_class""]], [""h2so4_M"", [""interlayer_A"", ""layer_class""]], [""target_cap_F_g"", [""h2so4_M"", ""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",114,114
4,2,5.25,0,38,"[[""h2so4_M"", [""interlayer_A""]], [""target_cap_F_g"", [""h2so4_M"", ""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]]]",200,200
4,2,5.25,1,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""h2so4_M"", [""interlayer_A"", ""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""target_cap_F_g""]]]",200,200
4,2,5.25,2,38,"[[""interlayer_A"", [""layer_class""]], [""h2so4_M"", [""interlayer_A"", ""layer_class""]], [""target_cap_F_g"", [""h2so4_M"", ""interlayer_A""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",200,200
4,3,1.0,0,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""h2so4_M"", [""target_cap_F_g"", ""interlayer_A"", ""composition_family""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A"", ""composition_family""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",38,38
4,3,3.0,0,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""h2so4_M"", [""target_cap_F_g"", ""interlayer_A"", ""composition_family""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A"", ""composition_family""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",114,114
4,3,5.25,0,38,"[[""target_cap_F_g"", [""composition_family""]], [""interlayer_A"", [""target_cap_F_g"", ""composition_family""]], [""h2so4_M"", [""target_cap_F_g"", ""interlayer_A"", ""composition_family""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A"", ""composition_family""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",200,200
5,1,1.0,0,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A""]], [""h2so4_M"", [""interlayer_A""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""interlayer_A""]]]",38,38
5,1,3.0,0,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A""]], [""h2so4_M"", [""interlayer_A""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""interlayer_A""]]]",114,114
