fold,k,ratio,gen_seed,n_synthetic,n_real_train,exact_duplicates_of_real,exact_duplicate_fraction,duplicates_within_synthetic,duplicate_within_fraction,nn_dist_mean,nn_dist_median,nn_dist_p05,nn_dist_min,real_to_real_nn_median,privacy_ratio_syn_vs_real_nn,n_syn_closer_than_real_p05
3,3,1.0,0,38,38,0,0.0,0,0.0,0.005047976674464055,0.005120167577801423,0.0012476695666466882,0.00019593276687152638,0.03506302521008404,0.14602754745557084,3
3,3,3.0,0,114,38,0,0.0,0,0.0,0.0057277243613727885,0.005328671466866081,0.0013802853214312238,0.0002894701639986339,0.03506302521008404,0.15197409336298706,7
3,3,5.25,0,200,38,0,0.0,0,0.0,0.005269922813745673,0.005123149100486075,0.0012324912740828775,0.0001825945293866524,0.03506302521008404,0.1461125806969066,18
4,1,1.0,0,38,38,0,0.0,0,0.0,0.07190717629656429,0.02651674331861198,0.0019191396347519195,0.0005546713558737582,0.012974852080613636,2.043702938103776,0
4,1,3.0,0,114,38,0,0.0,0,0.0,0.04776795864519365,0.012532586930896459,0.002070792584259002,0.0010540311412356518,0.012974852080613636,0.9659136653759631,0
4,1,5.25,0,200,38,0,0.0,0,0.0,0.056074783502990985,0.01266241338296608,0.0019968085295001205,0.00028369220625632945,0.012974852080613636,0.975919671707519,1
4,2,1.0,0,38,38,0,0.0,0,0.0,0.03321604962297844,0.007186902296655598,0.0017212396376966612,0.0005382089160356462,0.012974852080613636,0.5539101526555283,0
4,2,1.0,1,38,38,0,0.0,0,0.0,0.015124988731012234,0.004595570445671186,0.001426051045695191,0.0008805705706191898,0.012974852080613636,0.35419058476494336,0
4,2,1.0,2,38,38,0,0.0,0,0.0,0.03385547731527586,0.00687704693371864,0.001418217703145782,0.0008990279699061812,0.012974852080613636,0.5300289275739778,0
4,2,3.0,0,114,38,0,0.0,0,0.0,0.016107209986249916,0.005400163757143906,0.0015825320872759796,0.0003943772582693913,0.012974852080613636,0.41620233692009145,0
4,2,3.0,1,114,38,0,0.0,0,0.0,0.02478424827439758,0.005158628461059203,0.0010112325161211275,0.0005814426211134943,0.012974852080613636,0.39758668761757704,0
4,2,3.0,2,114,38,0,0.0,0,0.0,0.02468932768909028,0.006296841832910777,0.0014396414605311039,9.026012801706743e-05,0.012974852080613636,0.48531126164584165,1
4,2,5.25,0,200,38,0,0.0,0,0.0,0.017608368174104133,0.006100823672543828,0.001429941591758582,0.0005510483901939675,0.012974852080613636,0.47020371674674954,0
4,2,5.25,1,200,38,0,0.0,0,0.0,0.02460498426143236,0.005956100811045281,0.001454246273372347,0.0005869514470341861,0.012974852080613636,0.45904961182136206,0
4,2,5.25,2,200,38,0,0.0,0,0.0,0.030663422689423098,0.006963059545604195,0.001533563354585997,0.0006762878558629398,0.012974852080613636,0.5366581061843506,0
4,3,1.0,0,38,38,0,0.0,0,0.0,0.00497201329672179,0.004783671813562304,0.0011033750393269173,0.00036001039786957715,0.012974852080613636,0.36868796529170633,0
4,3,3.0,0,114,38,0,0.0,0,0.0,0.004936183726007322,0.0049963103474542706,0.0013344704680013466,0.00039750275699846764,0.012974852080613636,0.3850764784378161,0
4,3,5.25,0,200,38,0,0.0,0,0.0,0.0052050830199496904,0.005023478260039049,0.0010013829779472521,5.1486002870505e-05,0.012974852080613636,0.38717036840403557,3
5,1,1.0,0,38,38,0,0.0,0,0.0,0.06383808855564153,0.00947752362720674,0.001714614404657028,0.001459178112864768,0.016343201482062003,0.5799061853094754,0
5,1,3.0,0,114,38,0,0.0,0,0.0,0.08309269181634861,0.012184650218409115,0.0017845654272820454,0.0004211134714394744,0.016343201482062003,0.7455485531266786,0
5,1,5.25,0,200,38,0,0.0,0,0.0,0.0832067019976107,0.020444710239863047,0.0023691831016786663,0.00038103185001779535,0.016343201482062003,1.2509611572923938,0
5,2,1.0,0,38,38,0,0.0,0,0.0,0.030412354366410887,0.00801794020148085,0.0025082653844053894,0.0017842483111003818,0.016343201482062003,0.4905978923579443,0
5,2,1.0,1,38,38,0,0.0,0,0.0,0.05385203800432107,0.007544384707393097,0.0029263339005112785,0.0005242416140778056,0.016343201482062003,0.46162220515201224,0
5,2,1.0,2,38,38,0,0.0,0,0.0,0.037643953239955764,0.00689776991867979,0.00232991765162022,0.0011698265766984406,0.016343201482062003,0.42205744855135363,0
5,2,3.0,0,114,38,0,0.0,0,0.0,0.03959228248024171,0.007383964139997364,0.0024087558246861226,0.0008513246474964988,0.016343201482062003,0.4518064681575313,0
5,2,3.0,1,114,38,0,0.0,0,0.0,0.05025543830706634,0.006297832406872806,0.0014358571416092174,0.0005001039073458644,0.016343201482062003,0.3853487588576321,0
5,2,3.0,2,114,38,0,0.0,0,0.0,0.053821525308462834,0.006482002951584123,0.0014364613820057339,0.0006556896129663478,0.016343201482062003,0.3966176981112697,0
5,2,5.25,0,200,38,0,0.0,0,0.0,0.03049325153633772,0.006429783497983898,0.0017693367064236865,0.0004796216615530185,0.016343201482062003,0.39342251914602594,0
5,2,5.25,1,200,38,0,0.0,0,0.0,0.03532544925587082,0.006918313508179095,0.001247416901163164,0.00031284654516748503,0.016343201482062003,0.42331445988550703,1
5,2,5.25,2,200,38,0,0.0,0,0.0,0.03665188690604868,0.006658117590032547,0.0013796226757695623,0.0002008785339507358,0.016343201482062003,0.407393716423332,2
5,3,1.0,0,38,38,0,0.0,0,0.0,0.01424697579886932,0.005532123846843015,0.0016170957790771704,0.0002029766479133879,0.016343201482062003,0.33849694950618897,1
5,3,3.0,0,114,38,0,0.0,0,0.0,0.00731884030770167,0.005517041209481377,0.001856603921401555,0.0008795854428373797,0.016343201482062003,0.3375740803010218,0
5,3,5.25,0,200,38,0,0.0,0,0.0,0.008967658428299899,0.005201883971894149,0.001656255140085811,0.00046122250733199923,0.016343201482062003,0.3182903898972084,0
