fold,k,ratio,gen_seed,var_a,var_b,mi_real,mi_syn,mi_diff
1,1,3.0,0,target_cap_F_g,composition_family,0.19523576356725625,0.15686462040241425,-0.038371143164842
1,1,3.0,0,target_cap_F_g,scan_rate_mV_s,0.20647966880514146,0.04829617729022364,-0.1581834915149178
1,1,3.0,0,target_cap_F_g,layer_class,0.09968559788496818,0.04929185426859153,-0.050393743616376656
1,1,3.0,0,h2so4_M,interlayer_A,0.13012676725268765,0.05979288488515937,-0.07033388236752829
1,1,3.0,0,h2so4_M,target_cap_F_g,0.2739375999872824,0.16473630228844915,-0.10920129769883324
1,1,3.0,0,h2so4_M,h2so4_M,1.0,1.0,0.0
1,1,3.0,0,h2so4_M,composition_family,0.3022979047601231,0.06354770786665802,-0.23875019689346505
1,1,3.0,0,h2so4_M,scan_rate_mV_s,0.1661094624487936,0.021559688797392403,-0.1445497736514012
1,1,3.0,0,h2so4_M,layer_class,0.017910851905708295,0.018780776760822494,0.0008699248551141993
1,1,3.0,0,composition_family,interlayer_A,0.18284034185862033,0.06608113293875195,-0.11675920891986838
1,1,3.0,0,composition_family,target_cap_F_g,0.19523576356725625,0.15686462040241425,-0.038371143164842
1,1,3.0,0,composition_family,h2so4_M,0.3022979047601231,0.06354770786665802,-0.23875019689346505
1,1,3.0,0,composition_family,composition_family,1.0,1.0,0.0
1,1,3.0,0,composition_family,scan_rate_mV_s,0.1978387349456568,0.053486413280864516,-0.14435232166479228
1,1,3.0,0,composition_family,layer_class,0.1262308376206321,0.03932945067893717,-0.08690138694169494
1,1,3.0,0,scan_rate_mV_s,interlayer_A,0.13167523013698276,0.09935650077987225,-0.03231872935711051
1,1,3.0,0,scan_rate_mV_s,target_cap_F_g,0.20647966880514146,0.04829617729022364,-0.1581834915149178
1,1,3.0,0,scan_rate_mV_s,h2so4_M,0.1661094624487936,0.021559688797392403,-0.1445497736514012
1,1,3.0,0,scan_rate_mV_s,composition_family,0.1978387349456568,0.053486413280864516,-0.14435232166479228
1,1,3.0,0,scan_rate_mV_s,scan_rate_mV_s,1.0,1.0,0.0
1,1,3.0,0,scan_rate_mV_s,layer_class,0.08806254932415215,0.09349440997445034,0.005431860650298187
1,1,3.0,0,layer_class,interlayer_A,0.09111930885238935,0.1324432722620749,0.04132396340968554
1,1,3.0,0,layer_class,target_cap_F_g,0.09968559788496818,0.04929185426859153,-0.050393743616376656
1,1,3.0,0,layer_class,h2so4_M,0.017910851905708295,0.018780776760822494,0.0008699248551141993
1,1,3.0,0,layer_class,composition_family,0.1262308376206321,0.03932945067893717,-0.08690138694169494
1,1,3.0,0,layer_class,scan_rate_mV_s,0.08806254932415215,0.09349440997445034,0.005431860650298187
1,1,3.0,0,layer_class,layer_class,1.0,1.0,0.0
1,1,5.25,0,interlayer_A,interlayer_A,1.0,1.0,0.0
1,1,5.25,0,interlayer_A,target_cap_F_g,0.24599861649491667,0.059759249980445774,-0.1862393665144709
1,1,5.25,0,interlayer_A,h2so4_M,0.13012676725268765,0.049052175154319144,-0.08107459209836851
1,1,5.25,0,interlayer_A,composition_family,0.18284034185862033,0.04556266439640151,-0.1372776774622188
1,1,5.25,0,interlayer_A,scan_rate_mV_s,0.13167523013698276,0.13674863801468284,0.005073407877700081
1,1,5.25,0,interlayer_A,layer_class,0.09111930885238935,0.024290506996436888,-0.06682880185595247
1,1,5.25,0,target_cap_F_g,interlayer_A,0.24599861649491667,0.059759249980445774,-0.1862393665144709
1,1,5.25,0,target_cap_F_g,target_cap_F_g,1.0,1.0,0.0
1,1,5.25,0,target_cap_F_g,h2so4_M,0.2739375999872824,0.20814421700800478,-0.06579338297927761
1,1,5.25,0,target_cap_F_g,composition_family,0.19523576356725625,0.17539396858797593,-0.01984179497928032
1,1,5.25,0,target_cap_F_g,scan_rate_mV_s,0.20647966880514146,0.050363584333777085,-0.15611608447136438
1,1,5.25,0,target_cap_F_g,layer_class,0.09968559788496818,0.027950927703548137,-0.07173467018142005
1,1,5.25,0,h2so4_M,interlayer_A,0.13012676725268765,0.049052175154319144,-0.08107459209836851
1,1,5.25,0,h2so4_M,target_cap_F_g,0.2739375999872824,0.20814421700800478,-0.06579338297927761
1,1,5.25,0,h2so4_M,h2so4_M,1.0,1.0,0.0
1,1,5.25,0,h2so4_M,composition_family,0.3022979047601231,0.12098427720946442,-0.18131362755065866
1,1,5.25,0,h2so4_M,scan_rate_mV_s,0.1661094624487936,0.0353341082505659,-0.1307753541982277
1,1,5.25,0,h2so4_M,layer_class,0.017910851905708295,0.016139669773524358,-0.001771182132183937
1,1,5.25,0,composition_family,interlayer_A,0.18284034185862033,0.04556266439640151,-0.1372776774622188
1,1,5.25,0,composition_family,target_cap_F_g,0.19523576356725625,0.17539396858797593,-0.01984179497928032
1,1,5.25,0,composition_family,h2so4_M,0.3022979047601231,0.12098427720946442,-0.18131362755065866
1,1,5.25,0,composition_family,composition_family,1.0,1.0,0.0
1,1,5.25,0,composition_family,scan_rate_mV_s,0.1978387349456568,0.04946802410256415,-0.14837071084309264
1,1,5.25,0,composition_family,layer_class,0.1262308376206321,0.02283958203600467,-0.10339125558462745
1,1,5.25,0,scan_rate_mV_s,interlayer_A,0.13167523013698276,0.13674863801468284,0.005073407877700081
1,1,5.25,0,scan_rate_mV_s,target_cap_F_g,0.20647966880514146,0.050363584333777085,-0.15611608447136438
1,1,5.25,0,scan_rate_mV_s,h2so4_M,0.1661094624487936,0.0353341082505659,-0.1307753541982277
1,1,5.25,0,scan_rate_mV_s,composition_family,0.1978387349456568,0.04946802410256415,-0.14837071084309264
1,1,5.25,0,scan_rate_mV_s,scan_rate_mV_s,1.0,1.0,0.0
