fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
2,3,5.25,0,interlayer_A,continuous,-0.03631387009372811,-0.038667809806998986,0.002353939713270879,-0.10102061676600635,-0.04175401544131846,0.05926660132468789,True,,,
2,3,5.25,0,h2so4_M,categorical,,,,,,,,0.11371962149505925,0.14614713954375022,0.03242751804869097
2,3,5.25,0,composition_family,categorical,,,,,,,,0.8555766915360582,0.6985583664873299,0.15701832504872826
2,3,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.2242284309172261,0.1552188402342589,0.06900959068296722
2,3,5.25,0,layer_class,categorical,,,,,,,,0.027507866190635163,0.051082933305528135,0.023575067114892972
3,1,1.0,0,interlayer_A,continuous,-0.10413456126725046,-0.2945094794418089,0.19037491817455843,-0.25858446329249163,-0.422037422037422,0.16345295874493038,True,,,
3,1,1.0,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.10351859123551248,0.12389619272794149
3,1,1.0,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.004691994243922974,0.010969268314222107
3,1,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.17195509272341744,0.029280209259320455
3,1,1.0,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.0022445472341543027,0.01936055841706968
3,1,3.0,0,interlayer_A,continuous,-0.10413456126725046,-0.22986829007783394,0.12573372881058348,-0.25858446329249163,-0.36141430914724293,0.1028298458547513,True,,,
3,1,3.0,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.037497062600146056,0.18991772136330792
3,1,3.0,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.013474554487956463,0.002186708070188618
3,1,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.20186081454198831,0.0006255125592504185
3,1,3.0,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.028931661387770837,0.007326555736546853
3,1,5.25,0,interlayer_A,continuous,-0.10413456126725046,-0.0876598079259239,0.01647475334132656,-0.25858446329249163,-0.24866271656791422,0.009921746724577407,True,,,
3,1,5.25,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.0410550749858285,0.18635970897762547
3,1,5.25,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.0008328727801055895,0.014828389778039491
